	(6607)
whatsoever	(1)
star	(8)
guides	(2)
moving	(4)
Points	(1)
graciously	(1)
aspect	(2)
puts	(3)
apparel	(1)
loving	(14)
worthy	(8)
respect	(7)
dare	(8)
XXVII	(1)
Weary	(1)
haste	(13)
bed	(22)
dear	(35)
repose	(4)
limbs	(2)
travel	(3)
tired	(7)
begins	(8)
journey	(2)
expired	(2)
thoughts	(32)
far	(26)
abide	(6)
Intend	(1)
zealous	(1)
drooping	(1)
eyelids	(3)
open	(13)
Looking	(2)
darkness	(6)
blind	(10)
imaginary	(3)
Presents	(1)
shadow	(19)
sightless	(3)
view	(19)
jewel	(8)
hung	(2)
ghastly	(3)
Makes	(2)
black	(31)
thus	(38)
quiet	(5)
XXVIII	(1)
return	(10)
plight	(4)
debarr	(1)
benefit	(2)
oppression	(1)
eased	(1)
oppress	(3)
enemies	(4)
either	(14)
reign	(7)
Do	(10)
consent	(4)
hands	(7)
torture	(3)
complain	(7)
farther	(3)
off	(10)
please	(5)
clouds	(8)
blot	(10)
flatter	(8)
swart	(1)
sparkling	(1)
twire	(1)
gild	(2)
daily	(4)
sorrows	(4)
nightly	(4)
grief	(34)
stronger	(4)
XXIX	(1)
disgrace	(15)
beweep	(1)
outcast	(1)
trouble	(2)
deal	(2)
bootless	(2)
cries	(12)
curse	(6)
fate	(2)
Wishing	(3)
Featured	(1)
friends	(12)
Desiring	(1)
scope	(5)
enjoy	(4)
contented	(5)
these	(40)
almost	(5)
despising	(1)
Haply	(2)
think	(25)
lark	(3)
break	(13)
arising	(1)
sullen	(3)
sings	(4)
hymns	(2)
gate	(5)
wealth	(11)
brings	(3)
kings	(11)
XXX	(1)
sessions	(1)
summon	(2)
sigh	(7)
lack	(10)
sought	(9)
woes	(16)
drown	(7)
flow	(3)
precious	(10)
hid	(7)
dateless	(2)
afresh	(1)
cancell	(3)
woe	(42)
moan	(11)
expense	(3)
vanish	(3)
grieve	(1)
grievances	(1)
foregone	(1)
heavily	(2)
sad	(30)
account	(5)
bemoaned	(1)
paid	(1)
while	(13)
friend	(34)
All	(37)
losses	(1)
restored	(1)
XXXI	(1)
endeared	(1)
hearts	(12)
lacking	(3)
supposed	(6)
dead	(50)
reigns	(2)
holy	(9)
obsequious	(2)
tear	(11)
Hath	(11)
religious	(1)
stol	(7)
n	(10)
interest	(6)
appear	(9)
hidden	(2)
lie	(24)
Hung	(1)
trophies	(3)
lovers	(4)
Their	(16)
images	(2)
loved	(9)
XXXII	(1)
survive	(5)
bones	(2)
dust	(4)
re	(1)
survey	(4)
These	(14)
deceased	(2)
lover	(8)
Compare	(1)
bettering	(2)
outstripp	(1)
Reserve	(2)
Exceeded	(1)
vouchsafe	(3)
Had	(11)
grown	(5)
growing	(5)
dearer	(4)
birth	(6)
brought	(8)
march	(4)
ranks	(6)
better	(28)
equipage	(1)
died	(7)
poets	(3)
Theirs	(1)
style	(3)
ll	(24)
XXXIII	(1)
Full	(5)
glorious	(4)
morning	(10)
seen	(25)
Flatter	(1)
mountain	(5)
tops	(2)
sovereign	(8)
Kissing	(1)
meadows	(1)
pale	(25)
streams	(3)
alchemy	(2)
Anon	(8)
permit	(2)
basest	(3)
ride	(5)
ugly	(6)
rack	(1)
celestial	(2)
forlorn	(8)
visage	(4)
hide	(11)
Stealing	(2)
unseen	(8)
west	(4)
Even	(33)
early	(5)
morn	(11)
shine	(10)
triumphant	(2)
splendor	(2)
alack	(6)
hour	(17)
region	(1)
cloud	(7)
mask	(3)
whit	(1)
disdaineth	(1)
Suns	(1)
stain	(19)
staineth	(2)
XXXIV	(1)
didst	(7)
promise	(3)
forth	(30)
without	(14)
cloak	(3)
base	(14)
ertake	(1)
Hiding	(2)
bravery	(1)
rotten	(4)
smoke	(6)
Tis	(18)
enough	(8)
dry	(10)
storm	(3)
beaten	(2)
salve	(3)
speak	(14)
heals	(1)
wound	(16)
cures	(2)
physic	(5)
repent	(2)
loss	(13)
offender	(1)
sorrow	(43)
weak	(18)
relief	(2)
bears	(9)
offence	(8)
cross	(9)
tears	(44)
pearl	(3)
sheds	(2)
ransom	(3)
deeds	(14)
XXXV	(1)
grieved	(1)
Roses	(2)
thorns	(4)
fountains	(3)
mud	(3)
Clouds	(1)
eclipses	(1)
both	(38)
loathsome	(6)
canker	(6)
sweetest	(5)
faults	(14)
Authorizing	(1)
trespass	(8)
Myself	(5)
corrupting	(1)
salving	(1)
amiss	(4)
Excusing	(1)
sins	(4)
sensual	(2)
fault	(16)
bring	(13)
sense	(11)
adverse	(1)
party	(2)
advocate	(1)
lawful	(6)
plea	(4)
commence	(2)
civil	(3)
accessary	(3)
needs	(10)
thief	(8)
sourly	(2)
robs	(2)
XXXVI	(1)
confess	(4)
two	(23)
twain	(11)
Although	(6)
our	(36)
undivided	(1)
loves	(15)
blots	(1)
remain	(15)
help	(20)
borne	(2)
separable	(1)
spite	(13)
alter	(5)
sole	(2)
steal	(9)
delight	(24)
evermore	(3)
acknowledge	(1)
Lest	(13)
bewailed	(1)
guilt	(6)
kindness	(2)
Unless	(9)
take	(23)
name	(31)
sort	(3)
report	(4)
XXXVII	(1)
decrepit	(2)
active	(1)
lame	(4)
dearest	(3)
Take	(5)
comfort	(6)
whether	(12)
Entitled	(1)
crowned	(1)
sit	(8)
engrafted	(1)
despised	(4)
sufficed	(2)
XXXVIII	(1)
subject	(7)
invent	(2)
While	(13)
pour	(2)
into	(10)
Thine	(7)
argument	(8)
excellent	(2)
vulgar	(3)
paper	(3)
thanks	(1)
aught	(4)
Worthy	(1)
perusal	(1)
against	(19)
cannot	(33)
invention	(7)
tenth	(1)
Than	(14)
nine	(1)
rhymers	(1)
invocate	(1)
Eternal	(1)
outlive	(3)
slight	(2)
curious	(4)
pain	(16)
XXXIX	(1)
manners	(4)
t	(6)
us	(10)
divided	(1)
separation	(1)
deservest	(1)
absence	(6)
torment	(3)
sour	(6)
leisure	(6)
entertain	(7)
teachest	(1)
praising	(1)
XL	(1)
yea	(2)
hadst	(4)
blame	(14)
usest	(1)
blamed	(2)
deceivest	(1)
wilful	(4)
taste	(13)
refusest	(1)
forgive	(1)
robbery	(2)
poverty	(2)
greater	(13)
known	(3)
injury	(4)
Lascivious	(1)
Kill	(4)
spites	(1)
foes	(9)
XLI	(1)
petty	(4)
wrongs	(3)
liberty	(3)
absent	(4)
years	(7)
full	(30)
befits	(1)
temptation	(2)
follows	(3)
Gentle	(2)
won	(2)
Beauteous	(1)
assailed	(1)
woos	(2)
till	(22)
prevailed	(1)
Ay	(6)
mightest	(1)
seat	(4)
forbear	(2)
try	(4)
straying	(1)
lead	(5)
riot	(2)
forced	(8)
twofold	(1)
Hers	(1)
tempting	(3)
XLII	(1)
said	(22)
dearly	(1)
wailing	(3)
nearly	(1)
Loving	(1)
offenders	(2)
ye	(3)
because	(3)
knowst	(1)
sake	(16)
Suffering	(1)
approve	(3)
gain	(13)
losing	(3)
found	(13)
Both	(8)
lay	(14)
Sweet	(12)
flattery	(4)
XLIII	(1)
wink	(6)
unrespected	(2)
sleep	(11)
dreams	(3)
darkly	(1)
dark	(17)
directed	(1)
shadows	(7)
clear	(11)
clearer	(2)
unseeing	(1)
looking	(3)
imperfect	(1)
Through	(8)
heavy	(19)
nights	(4)
XLIV	(1)
dull	(11)
flesh	(7)
Injurious	(1)
distance	(3)
space	(4)
limits	(1)
remote	(2)
matter	(7)
although	(5)
foot	(10)
farthest	(2)
nimble	(4)
jump	(2)
land	(3)
soon	(16)
ah	(4)
kills	(3)
leap	(7)
large	(5)
lengths	(1)
miles	(2)
water	(17)
attend	(6)
Receiving	(1)
elements	(2)
slow	(12)
badges	(1)
XLV	(1)
purging	(1)
fire	(41)
wherever	(1)
present	(13)
motion	(8)
slide	(1)
quicker	(1)
embassy	(1)
four	(3)
Sinks	(1)
down	(22)
melancholy	(2)
Until	(2)
composition	(1)
recured	(1)
messengers	(2)
assured	(6)
health	(2)
recounting	(1)
told	(14)
straight	(13)
XLVI	(1)
divide	(3)
picture	(10)
bar	(1)
freedom	(3)
right	(23)
closet	(2)
pierced	(1)
crystal	(7)
defendant	(1)
says	(15)
appearance	(1)
cide	(1)
title	(2)
impanneled	(1)
quest	(2)
tenants	(2)
verdict	(2)
determined	(1)
moiety	(2)
XLVII	(1)
Betwixt	(1)
league	(4)
took	(10)
unto	(18)
famish	(2)
sighs	(16)
smother	(8)
feast	(4)
banquet	(2)
bids	(9)
Another	(5)
guest	(5)
share	(2)
resent	(1)
move	(5)
Awakes	(1)
XLVIII	(1)
careful	(2)
Each	(13)
trifle	(1)
truest	(2)
thrust	(4)
falsehood	(3)
sure	(3)
wards	(1)
jewels	(3)
trifles	(1)
Most	(2)
greatest	(3)
care	(13)
Art	(5)
prey	(10)
Thee	(1)
lock	(4)
chest	(4)
closure	(2)
whence	(3)
thence	(19)
proves	(1)
thievish	(4)
prize	(4)
XLIX	(1)
defects	(2)
cast	(3)
utmost	(1)
Call	(2)
advised	(3)
respects	(2)
strangely	(2)
pass	(7)
scarcely	(1)
greet	(3)
reasons	(3)
settled	(2)
gravity	(1)
ensconce	(1)
desert	(5)
uprear	(1)
guard	(3)
laws	(3)
allege	(1)
cause	(13)
L	(1)
seek	(11)
teach	(9)
ease	(4)
Thus	(23)
measured	(1)
beast	(5)
Plods	(1)
dully	(1)
weight	(2)
instinct	(1)
wretch	(5)
rider	(5)
speed	(11)
spur	(3)
provoke	(2)
sometimes	(4)
anger	(4)
thrusts	(1)
answers	(3)
groan	(9)
sharp	(11)
spurring	(1)
side	(15)
onward	(1)
LI	(1)
bearer	(1)
posting	(1)
need	(9)
extremity	(2)
mounted	(3)
winged	(2)
horse	(13)
pace	(5)
Therefore	(13)
neigh	(1)
fiery	(3)
race	(1)
jade	(3)
went	(5)
Towards	(2)
run	(5)
LII	(1)
key	(2)
locked	(1)
blunting	(2)
point	(6)
seldom	(5)
feasts	(2)
solemn	(3)
set	(25)
stones	(4)
thinly	(1)
placed	(2)
captain	(5)
carcanet	(1)
wardrobe	(1)
robe	(1)
special	(2)
instant	(1)
blest	(4)
unfolding	(1)
imprison	(4)
Blessed	(1)
worthiness	(1)
Being	(17)
LIII	(1)
whereof	(6)
millions	(1)
strange	(10)
tend	(4)
Describe	(1)
Adonis	(22)
poorly	(2)
imitated	(1)
On	(13)
Helen	(2)
cheek	(21)
Grecian	(1)
tires	(1)
Speak	(3)
foison	(1)
external	(1)
LIV	(1)
deem	(3)
odour	(3)
blooms	(1)
dye	(3)
perfumed	(2)
tincture	(1)
roses	(11)
Hang	(1)
wantonly	(1)
breath	(31)
masked	(1)
discloses	(1)
virtue	(18)
unwoo	(1)
deaths	(2)
odours	(1)
distills	(1)
LV	(1)
marble	(4)
gilded	(3)
monuments	(3)
powerful	(2)
contents	(4)
unswept	(1)
stone	(9)
besmear	(1)
sluttish	(2)
statues	(2)
overturn	(1)
broils	(1)
root	(6)
masonry	(1)
Mars	(2)
sword	(3)
quick	(7)
record	(4)
Gainst	(3)
oblivious	(1)
enmity	(2)
room	(1)
ending	(4)
arise	(3)
LVI	(1)
renew	(2)
force	(12)
edge	(4)
blunter	(1)
appetite	(7)
feeding	(2)
allay	(1)
morrow	(11)
sharpen	(1)
former	(4)
hungry	(2)
fullness	(1)
spirit	(14)
perpetual	(5)
dullness	(1)
interim	(1)
ocean	(8)
shore	(6)
Come	(4)
banks	(4)
Return	(2)
Else	(2)
welcome	(5)
thrice	(3)
LVII	(1)
slave	(14)
services	(1)
require	(1)
watch	(7)
bitterness	(2)
bid	(7)
servant	(3)
adieu	(1)
jealous	(2)
affairs	(3)
suppose	(2)
fool	(10)
thinks	(9)
LVIII	(1)
god	(14)
control	(5)
crave	(5)
vassal	(4)
bound	(7)
suffer	(4)
beck	(1)
patience	(6)
tame	(5)
sufferance	(1)
bide	(3)
accusing	(1)
list	(4)
charter	(2)
privilege	(3)
belong	(4)
pardon	(4)
doing	(3)
wait	(5)
waiting	(1)
hell	(16)
LIX	(1)
